codigo,categoria,dimension,fuente_input_doc,nivel,engine_existe,formula_coincide,fuente_real_vs_sintetica,persistencia,endpoint_ui,tests,estado,nota
IE_COL_TRUST_VECINDARIO,Scores de COLONIA (40),Trust score basado en reviews + reportes,DMX feedback + Locatel,N2,,,,,,,,
IE_COL_NARRATIVE,Scores de COLONIA (40),Narrativa AI 1 párrafo,LLM Sonnet + todos scores anteriores,N5,,,,,,,,
IE_PROY_SCORE_VS_COLONIA,Scores de PROYECTO (30),Score 0-100 vs colonia,DMX comparativa,N2,,,,,,,,
IE_PROY_SCORE_VS_CIUDAD,Scores de PROYECTO (30),Score 0-100 vs ciudad,DMX,N2,,,,,,,,
IE_PROY_SCORE_VS_NACIONAL,Scores de PROYECTO (30),Score 0-100 vs benchmark,DMX,N3,,,,,,,,
IE_PROY_PRECIO_VS_MERCADO,Scores de PROYECTO (30),% por encima / debajo zona,DMX listings comparable,N1,,,,,,,,
IE_PROY_AMENIDADES,Scores de PROYECTO (30),Amenities count weighted,DMX inventory,N1,,,,,,,,
IE_PROY_MARCA_TRUST,Scores de PROYECTO (30),Trust desarrolladora,DMX historial dev,N2,,,,,,,,
IE_PROY_ABSORCION_VELOCIDAD,Scores de PROYECTO (30),Días promedio venta unidad,DMX operations,N1,,,,,,,,
IE_PROY_ABSORCION_PROYECCION,Scores de PROYECTO (30),Cuándo cerrará inventario,regression DMX,N4,,,,,,,,
IE_PROY_PRESALES_RATIO,Scores de PROYECTO (30),% preventa,DMX inventory,N1,,,,,,,,
IE_PROY_DEVELOPER_TRUST,Scores de PROYECTO (30),Trust score histórico developer,DMX projects.dev,N2,,,,,,,,
IE_PROY_DEVELOPER_DELIVERY_HIST,Scores de PROYECTO (30),% proyectos entregados a tiempo,DMX,N1,,,,,,,,
IE_PROY_FEASIBILITY,Scores de PROYECTO (30),Score factibilidad construcción,datos.cdmx uso suelo + costos,N2,,,,,,,,
IE_PROY_DESIGN_QUALITY,Scores de PROYECTO (30),Calidad arquitectónica AI evaluation,AI vision sobre fotos/planos,N3,,,,,,,,
IE_PROY_LISTING_HEALTH,Scores de PROYECTO (30),Score listing optimization,DMX listings,N1,,,,,,,,
IE_PROY_DEMAND_FIT,Scores de PROYECTO (30),Match demanda zona,DMX search logs,N2,,,,,,,,
IE_PROY_VIEW_TO_LEAD,Scores de PROYECTO (30),Funnel ficha → contacto %,DMX engagement,N1,,,,,,,,
IE_PROY_LEAD_TO_VISIT,Scores de PROYECTO (30),% leads que agendan,DMX,N1,,,,,,,,
IE_PROY_VISIT_TO_OFFER,Scores de PROYECTO (30),% visitas que ofertan,DMX,N1,,,,,,,,
IE_PROY_OFFER_TO_CLOSE,Scores de PROYECTO (30),% ofertas que cierran,DMX,N1,,,,,,,,
IE_PROY_PRICE_ELASTICITY,Scores de PROYECTO (30),Elasticidad precio-demanda,regression DMX,N4,,,,,,,,
IE_PROY_DAYS_TO_SELLOUT,Scores de PROYECTO (30),Días estimados sellout,predictive DMX,N4,,,,,,,,
IE_PROY_COMPETITION_PRESSURE,Scores de PROYECTO (30),Presión competidores 5km,D3 Competitor Radar,N2,,,,,,,,
IE_PROY_ROI_BUYER,Scores de PROYECTO (30),ROI estimado comprador 5 años,IE_COL_PLUSVALIA + IE_COL_ROI,N4,,,,,,,,
IE_PROY_DEVELOPER_ROI,Scores de PROYECTO (30),ROI estimado desarrollador,costos + ventas DMX,N4,,,,,,,,
IE_PROY_RISK_DELAY,Scores de PROYECTO (30),Riesgo retraso entrega,dev historial + obras avance,N4,,,,,,,,
IE_PROY_RISK_LEGAL,Scores de PROYECTO (30),Riesgo legal (permisos / escrituración),Document Intel + datos.cdmx,N2,,,,,,,,
IE_PROY_QUALITY_DOCS,Scores de PROYECTO (30),Calidad documental,Document Intel score,N2,,,,,,,,
IE_PROY_COMPLIANCE_SCORE,Scores de PROYECTO (30),Cross-check docs (escritura / permiso / LP coherentes),Document Intel cross-check,N2,,,,,,,,
IE_PROY_NARRATIVE,Scores de PROYECTO (30),Narrativa AI proyecto,LLM,N5,,,,,,,,
IE_PROY_BADGE_TOP,Scores de PROYECTO (30),"Badge ""Top IE Score colonia"" si aplica",derived,N2,,,,,,,,
C01_LEAD_SCORE,Scores de LEAD (10),Score 0-100 probabilidad cierre,engagement + demografía + intent,N4,,,,,,,,
C01_HEAT,Scores de LEAD (10),Tier frío/tibio/caliente,DMX activity,N2,,,,,,,,
C01_TIME_IN_STAGE,Scores de LEAD (10),Tiempo en etapa pipeline,DMX,N1,,,,,,,,
C01_INTENT,Scores de LEAD (10),Intent fuerte (calculadora hipoteca + tour 360 + comparador 3),DMX behavior,N2,,,,,,,,
C01_LOOKALIKE,Scores de LEAD (10),Match con clientes que cerraron,similarity vector,N3,,,,,,,,
C01_NEXT_STEP,Scores de LEAD (10),Sugerencia AI siguiente paso,LLM + C01_HEAT,N5,,,,,,,,
C01_FROZEN_RISK,Scores de LEAD (10),Riesgo enfriamiento,regression activity,N4,,,,,,,,
C01_BUDGET_FIT,Scores de LEAD (10),Match presupuesto vs property,match score,N1,,,,,,,,
C01_FAMILY_FIT,Scores de LEAD (10),Match family unit (hijos/mascotas),DMX family_units,N2,,,,,,,,
C01_NARRATIVE,Scores de LEAD (10),Narrativa lead AI,LLM,N5,,,,,,,,
ASESOR_SCORE,Scores de ASESOR (10),Score Elo 0-1000,operaciones + reviews,N2,,,,,,,,
ASESOR_NPS,Scores de ASESOR (10),NPS clientes,reviews,N1,,,,,,,,
ASESOR_VELOCITY,Scores de ASESOR (10),Velocidad cierre,DMX operations,N1,,,,,,,,
ASESOR_QUALITY,Scores de ASESOR (10),Calidad servicio (reviews 5★),DMX,N1,,,,,,,,
ASESOR_COLONIA_EXPERTISE,Scores de ASESOR (10),Especialización colonia,operations historic,N2,,,,,,,,
ASESOR_BREADTH,Scores de ASESOR (10),Diversidad colonias trabajadas,DMX,N1,,,,,,,,
ASESOR_VOLUME,Scores de ASESOR (10),Volumen mensual / trimestral,DMX,N1,,,,,,,,
ASESOR_CONSISTENCY,Scores de ASESOR (10),Streak cierres consecutivos,DMX,N1,,,,,,,,
ASESOR_TRUST_VERIFIED,Scores de ASESOR (10),Cédula AMPI verificada,external check,N1,,,,,,,,
ASESOR_NARRATIVE,Scores de ASESOR (10),Narrativa asesor AI (Wrapped style),LLM,N5,,,,,,,,
C02_ARGUMENTARIO,Scores especializados (28-35),Argumentario AI mensaje personalizado,RAG cliente + zone + projects,N5,,,,,,,,
C03_SEMANTIC_MATCH,Scores especializados (28-35),Match semántico búsqueda vs inventory,embeddings,N3,,,,,,,,
ACM_VALUACION,Scores especializados (28-35),Análisis Comparativo Mercado,comparables top 5,N3,,,,,,,,
ACM_CONFIDENCE,Scores especializados (28-35),Confianza ACM (alta/media/baja),data quality,N2,,,,,,,,
AIRBNB_PROFITABILITY,Scores especializados (28-35),Rentabilidad Airbnb específica,AirROI listing,N2,,,,,,,,
AIRBNB_RISK_REGULATION,Scores especializados (28-35),Riesgo regulatorio Airbnb zona,datos.cdmx STR,N2,,,,,,,,
HEAT_DEMANDA_30D,Scores especializados (28-35),Heat demanda 30 días,predictive,N4,,,,,,,,
HEAT_DEMANDA_60D,Scores especializados (28-35),Heat demanda 60 días,predictive,N4,,,,,,,,
HEAT_DEMANDA_90D,Scores especializados (28-35),Heat demanda 90 días,predictive,N4,,,,,,,,
FAMILY_FIT_PROYECTO,Scores especializados (28-35),Match familia → proyecto,DMX family + project,N3,,,,,,,,
DISC_PROFILE,Scores especializados (28-35),Perfil DISC + Big Five comprador,quiz,N1,,,,,,,,
LIFESTYLE_MATCH,Scores especializados (28-35),Match estilo de vida → colonia,quiz colonia,N3,,,,,,,,
PRICE_NEGOTIATION_AI,Scores especializados (28-35),Margen negociación recomendado,precio vs absorption,N4,,,,,,,,
INVESTMENT_THESIS,Scores especializados (28-35),Tesis inversión 5 años AI,LLM + scores aggregated,N5,,,,,,,,
FUTURE_5Y_NARRATIVE,Scores especializados (28-35),Narrativa colonia 5 años,LLM + IE_COL_PLUSVALIA_PROYECTADA,N5,,,,,,,,
WRAPPED_PERSONAL,Scores especializados (28-35),Wrapped anual cliente,DMX behavior,N5,,,,,,,,
WRAPPED_ASESOR,Scores especializados (28-35),Wrapped anual asesor,DMX operations,N5,,,,,,,,
WRAPPED_DEVELOPER,Scores especializados (28-35),Wrapped anual developer,DMX,N5,,,,,,,,
WRAPPED_COLONIA,Scores especializados (28-35),Wrapped anual colonia,DMX zone,N5,,,,,,,,
MOAT_DATA_ACCUMULATION,Scores especializados (28-35),Score moat datos acumulados,DMX longevity,N3,,,,,,,,
LISTING_HEALTH_SCORE,Scores especializados (28-35),Health listing 0-100,DMX,N2,,,,,,,,
SPEECH_QUALITY,Scores especializados (28-35),Quality speech asesor (filler words / sentiment),Deepgram,N2,,,,,,,,
AI_COACH_RECOMMEND,Scores especializados (28-35),Recomendación AI Coach asesor,LLM,N5,,,,,,,,
FEASIBILITY_SCORE,Scores especializados (28-35),Score factibilidad construcción D10,datos.cdmx + costs,N3,,,,,,,,
VIDEO_ENGAGEMENT_SCORE,Scores especializados (28-35),Engagement videos DMX Studio,analytics,N1,,,,,,,,
VIDEO_HOOK_QUALITY,Scores especializados (28-35),Quality hook primeros 3s,AI vision,N2,,,,,,,,
AD_WINNER_SCORE,Scores especializados (28-35),Best ad creative Propads,analytics,N3,,,,,,,,
ZONE_TWIN_GLOBAL,Scores especializados (28-35),Climate twin global (Roma Norte ↔ Brooklyn Park Slope),NOAA global,N3,,,,,,,,
INVESTMENT_TIMING,Scores especializados (28-35),Timing óptimo compra,predictive,N4,,,,,,,,
LIQUIDITY_DAYS,Scores especializados (28-35),Días estimados venta usado,regression,N4,,,,,,,,
BANDERA_ROJA,Scores especializados (28-35),"Banderas rojas (precio sospechoso, etc.)",rules + LLM,N2,,,,,,,,
BANDERA_VERDE,Scores especializados (28-35),"Oportunidades (descuento, ROI alto)",rules + LLM,N2,,,,,,,,
